name,anime_id
Kimi no Na wa.,32281
Fullmetal Alchemist: Brotherhood,5114
Gintama°,28977
Steins;Gate,9253
Gintama&#039;,9969
Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,32935
Hunter x Hunter (2011),11061
Ginga Eiyuu Densetsu,820
Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,15335
Gintama&#039;: Enchousen,15417
Clannad: After Story,4181
Koe no Katachi,28851
Gintama,918
Code Geass: Hangyaku no Lelouch R2,2904
Haikyuu!! Second Season,28891
Sen to Chihiro no Kamikakushi,199
Shigatsu wa Kimi no Uso,23273
Mushishi Zoku Shou 2nd Season,24701
Ookami Kodomo no Ame to Yuki,12355
Code Geass: Hangyaku no Lelouch,1575
Hajime no Ippo,263
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,44
Cowboy Bebop,1
One Punch Man,30276
Mononoke Hime,164
Suzumiya Haruhi no Shoushitsu,7311
Monogatari Series: Second Season,17074
Mushishi Zoku Shou,21939
Mushishi,457
Tengen Toppa Gurren Lagann,2001
Great Teacher Onizuka,245
Natsume Yuujinchou Go,32983
Hajime no Ippo: New Challenger,5258
Mushishi Zoku Shou: Suzu no Shizuku,28957
Natsume Yuujinchou Shi,11665
Howl no Ugoku Shiro,431
Fate/Zero 2nd Season,11741
Kizumonogatari II: Nekketsu-hen,31757
Monster,19
Bakuman. 3rd Season,12365
Death Note,1535
Gintama°: Aizome Kaori-hen,32366
Ansatsu Kyoushitsu (TV) 2nd Season,30654
Haikyuu!!,20583
Hajime no Ippo: Rising,19647
Kara no Kyoukai 5: Mujun Rasen,4282
Natsume Yuujinchou San,10379
Ping Pong The Animation,22135
Mushishi Special: Hihamukage,21329
Boku dake ga Inai Machi,31043
Yojouhan Shinwa Taikei,7785
Aria The Origination,3297
Kamisama Hajimemashita: Kako-hen,30709
Rainbow: Nisha Rokubou no Shichinin,6114
Re:Zero kara Hajimeru Isekai Seikatsu,31240
Tengen Toppa Gurren Lagann Movie: Lagann-hen,4565
Zoku Natsume Yuujinchou,5300
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,9989
Kuroko no Basket 3rd Season,24415
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,11577
Hotarubi no Mori e,10408
Shokugeki no Souma,28171
Yuri!!! on Ice,32995
Gintama: Yorinuki Gintama-san on Theater 2D,21899
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,26055
Gintama Movie: Shinyaku Benizakura-hen,7472
Hellsing Ultimate,777
Kiseijuu: Sei no Kakuritsu,22535
Shouwa Genroku Rakugo Shinjuu,28735
Uchuu Kyoudai,12431
Bakemono no Ko,28805
Hotaru no Haka,578
Kuroko no Basket 2nd Season,16894
Major S5,5028
One Piece,21
Ghost in the Shell: Stand Alone Complex 2nd GIG,801
JoJo no Kimyou na Bouken: Diamond wa Kudakenai,31933
Kara no Kyoukai 7: Satsujin Kousatsu (Kou),5205
Kingdom 2nd Season,17389
Slam Dunk,170
Usagi Drop,10162
Girls und Panzer der Film,18617
Mob Psycho 100,32182
Nana,877
Baccano!,2251
Mushishi Zoku Shou: Odoro no Michi,24687
Shingeki no Kyojin,16498
Bakuman. 2nd Season,10030
Cross Game,5941
Doukyuusei (Movie),30346
Evangelion: 2.0 You Can (Not) Advance,3784
Shinsekai yori,13125
Uchuu Senkan Yamato 2199,12029
Chihayafuru 2,14397
Fate/Zero,10087
JoJo no Kimyou na Bouken (TV),14719
Mahou Shoujo Madoka★Magica,9756
Nichijou,10165
Psycho-Pass,13601
Barakamon,22789
Diamond no Ace: Second Season,30230
Magi: The Kingdom of Magic,18115
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,11981
Major: World Series,11917
Samurai Champloo,205
Shokugeki no Souma: Ni no Sara,32282
Katanagatari,6594
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,11979
Major S6,7655
Mononoke,2246
Shirobako,25835
Ashita no Joe 2,2921
Hunter x Hunter,136
Noragami Aragoto,30503
Sakamichi no Apollon,12531
Tonari no Totoro,523
Ghost in the Shell: Stand Alone Complex,467
Kaze no Tani no Nausicaä,572
No Game No Life,19815
Romeo no Aoi Sora,2559
Yuu☆Yuu☆Hakusho,392
Kino no Tabi: The Beautiful World,486
Kuroko no Basket,11771
Nodame Cantabile,1698
Ookami to Koushinryou II,5341
Shingeki no Kyojin: Kuinaki Sentaku,25781
Steins;Gate: Oukoubakko no Poriomania,10863
Fate/stay night: Unlimited Blade Works 2nd Season,28701
Kemono no Souja Erin,5420
Kizumonogatari I: Tekketsu-hen,9260
Neon Genesis Evangelion: The End of Evangelion,32
Toradora!,4224
Toki wo Kakeru Shoujo,2236
Tsubasa: Tokyo Revelations,2685
Owarimonogatari,31181
Rurouni Kenshin: Meiji Kenkaku Romantan,45
Stranger: Mukou Hadan,2418
Detective Conan Movie 06: The Phantom of Baker Street,1365
Fate/stay night: Unlimited Blade Works,22297
Major S1,627
Mobile Suit Gundam: The Origin,10937
Nanatsu no Taizai,23755
Natsume Yuujinchou,4081
One Piece Film: Strong World,4155
Higurashi no Naku Koro ni Kai,1889
Hunter x Hunter OVA,137
Hunter x Hunter: Greed Island Final,139
Kuroshitsuji: Book of Murder,23317
Major S2,558
One Outs,5040
Beck,57
Berserk,33
Cowboy Bebop: Tengoku no Tobira,5
Major S3,1842
Mobile Suit Gundam Unicorn,6336
Natsume Yuujinchou: Itsuka Yuki no Hi ni,20651
NHK ni Youkoso!,1210
Rose of Versailles,338
Sakurasou no Pet na Kanojo,13759
Angel Beats!,6547
Bakemonogatari,5081
Bungou Stray Dogs 2nd Season,32867
Hajime no Ippo: Champion Road,264
One Piece Film: Z,12859
